volume_weight,frictional_angle,cohesion,DJ_1,DJ_2,DJ_4,DJ_3,ZZJL,ZXZ_YL_1,ZXZ_YL_2,KWC_YL_1,KWC_YL_2,NJB_SZ_11,NJB_SZ_21,YG_A_2,YG_B_2,YG_C_2,YG_D_2,YG_E_2,YG_F_2,DJ_5
23.93680982,54.29657733,55.17759122,73016.0179,15.00704698,9578.782359,1.173624161,37.89333333,2.819597315,2.745939597,2.874043624,2.851182886,46.8011745,83.07298658,62.83557047,67.03691275,156.0620805,170.0553691,160.5100671,66.98154362,17.63506711
23.8850362,54.44102977,56.13000805,72666.45943,12.96706858,9035.381311,1.206721929,37.16666667,2.778425019,2.652170309,2.848477769,2.825666918,51.47174077,84.63149962,52.6360211,77.84024115,145.6880181,188.5064054,149.8251696,68.61642803,15.69630746
23.83414556,54.58672651,57.07694774,74957.27117,15.30496151,10640.14115,1.189974337,36.89333333,2.789520958,2.647416595,2.867767322,2.845098375,50.26689478,85.16424294,47.74508127,93.51753636,158.4687767,184.0153978,156.2566296,66.37296835,18.26689478
23.78330671,54.72891374,58.01341853,74251.03245,13.15125369,9250.951327,1.208775811,39.08666667,2.789830383,2.671629794,2.853923304,2.830634218,49.31637168,84.5840708,50.17256637,77.2979351,151.0221239,195.079646,149.6887906,75.12389381,15.9439528
23.73446355,54.88077046,58.95542821,76769.15398,16.41731557,10936.15266,1.215204918,34.13333333,2.846895492,2.714938525,2.912223361,2.888473361,55.32581967,87.73565574,65.73155738,66.24385246,169.0061475,181.954918,165.2766393,69.29713115,19.99795082
23.73800668,54.67318391,58.34557304,66913.21012,14.59812126,10728.55437,1.197472246,37.48,2.709017933,2.56442357,2.773654996,2.750811272,50.15029889,92.14005124,74.55166524,66.22544833,138.0392827,170.5687447,115.6549957,62.33304868,17.52177626
23.78966121,54.1975505,56.48162876,69173.6536,14.31292035,9645.654867,1.22320354,33.54666667,2.753814159,2.648380531,2.827495575,2.802230088,53.31504425,92.2920354,62.6619469,67.78584071,142.460177,183.6247788,127.9097345,64.17168142,17.53451327
23.83905156,53.70528326,54.59452578,67878.05601,13.6789861,9256.371218,1.223679477,36.5,2.71949305,2.649623876,2.768103025,2.744047424,48.32624693,87.66966476,58.45625511,60.75715454,145.8855274,179.8593622,128.4317253,61.61733442,16.77105478
23.89038829,53.22612985,52.72501591,68663.04,13.99824,9410.456727,1.158688,38.39333333,2.693616,2.61776,2.742768,2.718688,49.0568,84.8792,44.6112,47.6,166.9568,185.1008,143.2512,49.784,16.28
23.94119427,52.7410828,50.84267516,69538.94108,14.65072588,9253.620837,1.156003416,37,2.691050384,2.616558497,2.742186166,2.718163962,49.72672929,85.17164816,44.38257899,46.1383433,170.1093083,178.2442357,156.7002562,48.95815542,16.97438087
23.98093571,52.59150223,49.98090388,69409.22449,14.09885714,8872.367347,1.182791837,36.69333333,2.688065306,2.607281633,2.73924898,2.71644898,49.57959184,84.7477551,43.90693878,48.31836735,167.4677551,181.0628571,153.4334694,49.68979592,16.71591837
24.00879924,52.72442821,50.00063532,69747.88618,13.62723577,8656.747967,1.187414634,36.97333333,2.669333333,2.57501626,2.721317073,2.700121951,46.94390244,85.39593496,44.38536585,48.94634146,158.3398374,190.4178862,155.6747967,49.5300813,16.21788618
24.03889329,52.87030284,50.03393055,70881.08273,13.59555175,8969.013045,1.198802395,28.5,2.69439692,2.969820359,2.724174508,2.702070145,47.34987169,87.43284859,42.19332763,48.4465355,158.011976,188.3883661,167.3926433,53.50556031,16.34302823
24.06889839,53.01804368,50.07344096,70931.42258,13.44870181,8972.48467,1.195798584,38.98666667,2.702942565,3.179055862,2.737663257,2.712848151,52.61447679,89.75216365,46.97088906,42.53973249,165.3642801,190.9724626,163.8111723,45.94020456,16.122738
24.09570368,53.14184173,50.07866056,70000.82258,13.85508065,9121.661738,1.196677419,37.34,2.686258065,2.610879032,2.730258065,2.706008065,57.25887097,90.17741935,49.37258065,48.66290323,167.8596774,167.5483871,168.5096774,46.74354839,16.62419355
24.13475379,53.81707702,51.51515152,69775.27473,14.02503925,9144.089482,1.190313972,37.92666667,2.676428571,2.582456829,2.724952904,2.701585557,54,87.08948195,42.34850863,39.10675039,172.6703297,179.1459969,170.9434851,39.24646782,16.7433281
24.17601325,54.70004731,53.51648005,70447.10966,14.68452381,9022.802198,1.197234432,37.40666667,2.673727106,2.561272894,2.734880952,2.711721612,50.09065934,87.3003663,48.78388278,46.93772894,155.2582418,181.8663004,173.2619048,46.05677656,17.61813187
24.21966567,55.59927456,55.53887399,69048.63115,13.35,8698.861418,1.205263158,36.28666667,2.673803056,2.557359932,2.732699491,2.709762309,55.15280136,87.30814941,52.70797963,64.57724958,146.8913413,174.2903226,154.6943973,51.08998302,16.13242784
24.26097715,56.48069346,57.53506698,69158.2566,14.39607547,9011.753962,1.196392453,37.02,2.650309434,2.518384906,2.71050566,2.686649057,58.04377358,92.38716981,64.40301887,57.86415094,141.0460377,165.0898113,149.4535849,69.74943396,17.26415094
24.30324512,57.36925016,59.54064272,69640.73564,13.9072324,10064.70974,1.173018322,30.00666667,2.743702989,2.579816779,2.804349084,2.783153327,48,87.95756991,66.71552555,82.42622951,137.7492768,156.6885246,141.0221794,72.81581485,16.35969142
